CFGPdb_unigene	clones	libraries_specific	annotation	Arabidopsis_first_BLAST_hit_ID	Arabidopsis_first_BLAST_hit_description
aC18004B07Rv_c	C18004B07	yes	F20N2.15	AT1G55760	BTB/POZ domain-containing protein, Interpro IPR000210/ PS50097: BTBB/POZ domain; similar to POZ 56 protein (GI:17483747) (Mus musculus)
aC18004B08Rv_c	C18004B08	yes	UPI00000A8A3C; P0024G09.20	AT2G37680	phytochrome A specific signal transduction component (PAT3) / far-red elongated hypocotyl protein 1 (FHY1), identical to phytochrome A specific signal transduction component PAT3 (Arabidopsis thaliana) gi:19421998:gb:AAL87850; identical to far-red elongated hypocotyl protein 1 (Arabidopsis thaliana) gi:17148773:gb:AAL35819
aC18004B10Rv_c	C18004B10	yes	Pto-like serine/threonine kinase	AT3G46290	protein kinase, putative, similar to receptor-like protein kinase (Catharanthus roseus) gi:1644291:emb:CAA97692
aC18004B12Rv_c	C18004B12	yes	Putative MYB transcription factor	AT4G21440	myb family transcription factor (MYB102), contains Pfam profile: PF00249 myb-like DNA-binding domain
aC18004C02Rv_c	C18004C02	yes	no_annotation_available	AT1G78680	ATGGH2 | The Arabidopsis protein AtGGH2 is a gamma-glutamyl hydrolase acting specifically on monoglutamates. The enzyme is involved in the tetrahydrofolate metabolism and located to the vacuole.
aC18004C04Rv_c	C18004C04	yes	Putative membrane protein	AT4G12980	auxin-responsive protein, putative, similar to auxin-induced protein AIR12 GI:11357190 (Arabidopsis thaliana)
aC18004C06Rv_c	C18004C06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004C07Rv_c	C18004C07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004C08Rv_c	C18004C08	yes	At4g16144	AT1G48790	mov34 family protein, similar to AMSH (Homo sapiens) GI:4098124; contains Pfam profile PF01398: Mov34/MPN/PAD-1 family
aC18004C10Rv_c	C18004C10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004C11Rv_c	C18004C11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004D03Rv_c	C18004D03	yes	T1K7.7 protein	AT1G26560	glycosyl hydrolase family 1 protein, contains Pfam PF00232 : Glycosyl hydrolase family 1 domain; TIGRFAM TIGR01233: 6-phospho-beta-galactosidase; similar to amygdalin hydrolase isoform AH I precursor (GI:16757966) (Prunus serotina)
aC18004D05Rv_c	C18004D05	yes	Yippee-like protein At5g53940	AT5G53940	yippee family protein, similar to mdgl-1 (Mus musculus) GI:10441648, Yippee protein (Drosophila melanogaster) GI:5713279; contains Pfam profile PF03226: Yippee putative zinc-binding protein
aC18004D09Rv_c	C18004D09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004D10Rv_c	C18004D10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004D12Rv_c	C18004D12	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004E10Rv_c	C18004E10	yes	RAD23, isoform I	AT3G02540	ubiquitin family protein, contains Pfam profiles PF00240: Ubiquitin family, PF00627: UBA/TS-N domain;
aC18004F11Rv_c	C18004F11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004G03Rv_c	C18004G03	yes	no_annotation_available	AT5G26240	chloride channel protein (CLC-d), identical to CLC-d chloride channel protein (Arabidopsis thaliana) GI:1742959
aC18004G07Rv_c	C18004G07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004G10Rv_c	C18004G10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004H01Rv_c	C18004H01	yes	no_annotation_available	AT3G22360	alternative oxidase 1b, mitochondrial (AOX1B), identical to GB:O23913 (SP:O23913) from (Arabidopsis thaliana)
aC18005A07Rv_c	C18005A07	yes	Ripening regulated protein DDTFR18	AT5G65380	ripening-responsive protein, putative, similar to ripening regulated protein DDTFR18 (Lycopersicon esculentum) GI:12231296; contains Pfam profile PF01554: Uncharacterized membrane protein family
aC18005A08Rv_c	C18005A08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18005B01Rv_c	C18005B01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18005B09Rv_c	C18005B09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18005B10Rv_c	C18005B10	yes	F19K19.4 protein	AT1G16670	protein kinase family protein, contains protein kinase domain, Pfam:PF00069; similar to receptor-like serine/threonine kinase GI:2465923 from (Arabidopsis thaliana)
aC18005C06Rv_c	C18005C06	yes	Similarity to intracellular protein	AT5G40270	metal-dependent phosphohydrolase HD domain-containing protein, similar to SP:Q60710 Interferon-gamma inducible protein MG11 {Mus musculus}; contains Pfam profile PF01966: HD domain
aC18005D01Rv_c	C18005D01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18005D04Rv_c	C18005D04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18005D05Rv_c	C18005D05	yes	Major facilitator superfamily protein	AT5G13740	sugar transporter family protein, contains Pfam profile PF00083: major facilitator superfamily protein
aC18005E02Rv_c	C18005E02	yes	UPI000034F2E0; nucleotide binding	AT5G49430	transducin family protein / WD-40 repeat family protein, similar to WD-repeat protein 9 (SP:Q9NSI6) {Homo sapiens}; contains Pfam PF00400: WD domain, G-beta repeat (4 copies)
aC18005E07Rv_c	C18005E07	yes	Kinase-like protein	AT3G22750	protein kinase, putative, similar to protein kinase ATMRK1 (Arabidopsis thaliana) gi:2351097:dbj:BAA22079
aC18005F01Rv_c	C18005F01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18005F02Rv_c	C18005F02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18005F03Rv_c	C18005F03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18005F07Rv_c	C18005F07	yes	no_annotation_available	AT2G47920	kinase interacting family protein, similar to kinase interacting protein 1 (GI:13936326) (Petunia integrifolia)
aC18005F10Rv_c	C18005F10	yes	Sialyltransferase-like protein	AT3G48820	glycosyl transferase family 29 protein / sialyltransferase family protein, contains Pfam profile: PF00777 sialyltransferase (Glycosyltransferase family 29)
aC18005G02Rv_c	C18005G02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18005G04Rv_c	C18005G04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18005G06Rv_c	C18005G06	yes	Putative growth regulator	AT4G16660	heat shock protein 70, putative / HSP70, putative
aC18005G07Rv_c	C18005G07	yes	Callose synthase catalytic subunit-like protein	AT5G13000	glycosyl transferase family 48 protein, contains Pfam profile: PF02364 1,3-beta-glucan synthase
aC18005G11Rv_c	C18005G11	yes	hydrolase, alpha/beta fold family protein, contains Pfam profile PF00561: hydrolase, alpha/beta fold family	AT3G09690	hydrolase, alpha/beta fold family protein [Arabidopsis thaliana] (TAIR:At5g02970.1); similar to putative alpha/beta hydrolase [Oryza sativa (japonica cultivar-group)] (GB:AAP54670.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAM92284.1); contains InterPro domain Alpha/beta hydrolase fold (InterPro:IPR000073)
aC18005H02Rv_c	C18005H02	yes	Glutamate receptor 3.3 precursor	AT1G42540	glutamate receptor family protein (GLR3.3), plant glutamate receptor family, PMID:11379626
aC18005H04Rv_c	C18005H04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006A05Rv_c	C18006A05	yes	Similarity to ubiquitin carboxyl-terminal hydrolase	AT5G65450	ubiquitin carboxyl-terminal hydrolase family protein / zinc finger (MYND type) family protein, similar to ubiquitin-specific protease 16 (UBP16) (Arabidopsis thaliana) GI:11993477; contains Pfam profiles PF00443: Ubiquitin carboxyl-terminal hydrolase, PF01753: MYND finger
aC18006A08Rv_c	C18006A08	yes	Protein At2g46495	AT2G46495	zinc finger (C3HC4-type RING finger) family protein, contains Pfam profile: PF00097 zinc finger, C3HC4 type (RING finger)
aC18006B01Rv_c	C18006B01	yes	NAD-dependent epimerase/dehydratase family protein-like protein	AT5G28840	NAD-dependent epimerase/dehydratase family protein, similar to sugar epimerase BlmG from Streptomyces verticillus GI:9937230; contains Pfam profile PF01370 NAD dependent epimerase/dehydratase family
aC18006B10Rv_c	C18006B10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006C06Rv_c	C18006C06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006C09Rv_c	C18006C09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006C10Rv_c	C18006C10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006D07Rv_c	C18006D07	yes	ER66 protein	AT2G22300	ethylene-responsive calmodulin-binding protein, putative (SR1), identical to partial sequence of ethylene-induced calmodulin-binding protein GI:11545505 from (Arabidopsis thaliana); contains Pfam profiles PF03859: CG-1 domain, PF00612: IQ calmodulin-binding motif, and PF00023: Ankyrin repeat
aC18006D09Rv_c	C18006D09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006D11Rv_c	C18006D11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006E04Rv_c	C18006E04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006E08Rv_c	C18006E08	yes	OSJNBb0080H08.21 protein	AT3G07020	UDP-glucose:sterol glucosyltransferase (UGT80A2), identical to UDP-glucose:sterol glucosyltransferase (Arabidopsis thaliana) GI:2462931; contains Pfam profile: PF03033 glycosyltransferase family 28 N-terminal domain
aC18006E10Rv_c	C18006E10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006F03Rv_c	C18006F03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006F05Rv_c	C18006F05	yes	Not56-like protein	AT2G47760	ALG3 family protein, contains Pfam profile: PF05208 ALG3 protein
aC18006F07Rv_c	C18006F07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18006F11Rv_c	C18006F11	yes	expressed protein	AT2G44360	expressed protein
aC18006F12Rv_c	C18006F12	yes	Centromere protein	AT3G22790	kinase interacting family protein, similar to kinase interacting protein 1 (GI:13936326) (Petunia integrifolia)
aC18006G01Rv_c	C18006G01	yes	Stachyose synthase	AT4G01970	raffinose synthase family protein [Arabidopsis thaliana] (TAIR:At5g40390.1); similar to raffinose synthase [Cucumis sativus] (GB:AAD02832.1); similar to galactinol-raffinose galactosyltransferase [Vigna angularis] (GB:CAB64363.1); similar to putative alkaline alpha galactosidase I [Oryza sativa (japonica cultivar-group)] (GB:XP_550270.1); similar to putative raffinose synthase [Oryza sativa (japonica cultivar-group)] (GB:NP_909442.1); similar to stachyose synthase [Pisum sativum] (GB:CAD55555.1); contains InterPro domain Raffinose synthase (InterPro:IPR008811)
aC18006G04Rv_c	C18006G04	yes	At2g17080 protein	AT4G35690	hypothetical protein, contains Pfam profile PF03087: Arabidopsis protein of unknown function
aC18006H02Rv_c	C18006H02	yes	Histidine biosynthesis bifunctional protein hisIE, chloroplast precursor [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) (PRA-CH); Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31) (PRA-PH)]	AT1G31860	histidine biosynthesis bifunctional protein (HISIE), identical to histidine biosynthesis bifunctional protein hisIE, chloroplast (precursor) SP: O82768 from (Arabidopsis thaliana); identical to cDNA phosphoribosyl-ATP pyrophosphohydrolase GI:3461883
aC18006H07Rv_c	C18006H07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18007A06Rv_c	C18007A06	yes	CTV.22	AT1G15780	expressed protein
aC18007C03Rv_c	C18007C03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18007C06Rv_c	C18007C06	yes	1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplast precursor	AT5G62790	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXR), nearly identical to 1-deoxy-d-xylulose-5-phosphate reductoisomerase (Arabidopsis thaliana) GI:4886307; contains Pfam profile PF02670: 1-deoxy-D-xylulose 5-phosphate reductoisomerase
aC18007D03Rv_c	C18007D03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18007D06Rv_c	C18007D06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18007E01Rv_c	C18007E01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18007F04Rv_c	C18007F04	yes	F10A16.15 protein	no_similar_Arabidopsis_protein	
aC18007F05Rv_c	C18007F05	yes	no_annotation_available	AT4G08280	expressed protein, hypothetical protein ssr1391 - Synechocystis sp. (strain PCC 6803),PIR2:S75571
aC18007G06Rv_c	C18007G06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18007H05Rv_c	C18007H05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18007H06Rv_c	C18007H06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18008A06Rv_c	C18008A06	yes	no_annotation_available	AT2G41760	expressed protein
aC18008A07Rv_c	C18008A07	yes	Raffinose synthase	AT5G40390	raffinose synthase family protein, similar to galactinol-raffinose galactosyltransferase (Vigna angularis) GI:6634701, seed imbibition protein GB:AAA32975 GI:167100 from (Hordeum vulgare); contains Pfam profile PF05691: Raffinose synthase or seed imbibition protein Sip1
aC18008B01Rv_c	C18008B01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18008B02Rv_c	C18008B02	yes	F16F4.11 protein	AT1G21200	expressed protein
aC18008B04Rv_c	C18008B04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18008B05Rv_c	C18008B05	yes	Glucose acyltransferase	AT1G33540	SCPL18 | serine carboxypeptidase S10 family protein, similar to GI:8777303 from (Arabidopsis thaliana) (DNA Res. 7 (1), 31-63 (2000))
aC18008B06Rv_c	C18008B06	yes	Putative disease resistance protein	AT2G34930	disease resistance family protein, contains leucine rich-repeat domains Pfam:PF00560, INTERPRO:IPR001611; similar to Cf-2.1 (Lycopersicon pimpinellifolium) gi:1184075:gb:AAC15779
aC18008B07Rv_c	C18008B07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18008B08Rv_c	C18008B08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18008B09Rv_c	C18008B09	yes	Putative DDT domain-containing protein	AT5G08630	DDT domain-containing protein, low similarity to SP:Q9NRL2 Bromodomain adjacent to zinc finger domain protein 1A (ATP-utilizing chromatin assembly and remodeling factor 1) (ATP-dependent chromatin remodelling protein) (Williams syndrome transcription factor-related chromatin remodeling factor 180) {Homo sapiens}; contains Pfam profile PF02791: DDT domain
aC18008B10Rv_c	C18008B10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18008C04Rv_c	C18008C04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18008C05Rv_c	C18008C05	yes	glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein, weak similarity to SP:P15922 Exo-poly-alpha-D-galacturonosidase precursor (EC 3.2.1.82) (Exo-PG) {Erwinia chrysanthemi}; contains PF00	AT3G57790	glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein, weak similarity to SP:P15922 Exo-poly-alpha-D-galacturonosidase precursor (EC 3.2.1.82) (Exo-PG) {Erwinia chrysanthemi}; contains PF00295: Glycosyl hydrolases family 28
aC18008C06Rv_c	C18008C06	yes	Stress kinase	AT1G10940	serine/threonine protein kinase, putative [Arabidopsis thaliana] (TAIR:At1g60940.1); similar to serine/threonine protein kinase, putative [Arabidopsis thaliana] (TAIR:At1g60940.2); similar to probable serine/threonine-specific protein kinase (EC 2.7.1.-) BSK2 - rape (GB:S60611); contains InterPro domain Tyrosine protein kinase (InterPro:IPR001245); contains InterPro domain Serine/threonine protein kinase (InterPro:IPR002290); contains InterPro domain Protein kinase (InterPro:IPR000719)
aC18008C09Rv_c	C18008C09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18008D05Rv_c	C18008D05	yes	At5g11290	AT5G11290	expressed protein, contains Pfam profile PF03140: Plant protein of unknown function
aC18008D06Rv_c	C18008D06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18008E02Rv_c	C18008E02	yes	MATE efflux family protein, putative	AT1G33090	MATE efflux family protein, similar to ripening regulated protein DDTFR18 (Lycopersicon esculentum) GI:12231296; contains Pfam profile PF01554: Uncharacterized membrane protein family
aC18008E04Rv_c	C18008E04	yes	Mitogen-activated protein kinase homolog 1	AT1G59580	mitogen-activated protein kinase, putative / MAPK, putative (MPK2), identical to mitogen-activated protein kinase homolog 2 (AtMPK2)(Arabidopsis thaliana) SWISS-PROT:Q39022; PMID:12119167
aC18008E05Rv_c	C18008E05	yes	Protease inhibitor	AT2G38870	protease inhibitor, putative, similar to SP:P24076 Glu S.griseus protease inhibitor (BGIA) {Momordica charantia}; contains Pfam profile PF00280: Potato inhibitor I family
aC18008E12Rv_c	C18008E12	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18008F05Rv_c	C18008F05	yes	F2H15.5 protein	AT1G73200	expressed protein
aC18008G02Rv_c	C18008G02	yes	T6D22.8	AT2G28360	SIT4 phosphatase-associated family protein, contains Pfam profile: PF04499 SIT4 phosphatase-associated protein
aC18008G07Rv_c	C18008G07	yes	At5g05230	AT5G05230	expressed protein
aC18008G09Rv_c	C18008G09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009A04Rv_c	C18009A04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009A05Rv_c	C18009A05	yes	no_annotation_available	AT4G19800	glycosyl hydrolase family 18 protein, similar to chitinase, class V GI:899342 from (Nicotiana tabacum)
aC18009A10Rv_c	C18009A10	yes	Putative clathrin assembly protein At5g35200	AT5G35200	epsin N-terminal homology (ENTH) domain-containing protein, contains Pfam PF01417: ENTH domain. ENTH (Epsin N-terminal homology) domain; similar to clathrin assembly protein short form, Rattus norvegicus, EMBL:AF041373;similar to Chain A, Calm-N N-Terminal Domain Of Clathrin Assembly Lymphoid Myeloid Leukaemia Protein, Pi(4,5)p2 Complex (GP:13399999) {Homo sapiens}
aC18009B03Rv_c	C18009B03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009B07Rv_c	C18009B07	yes	Protein phosphatase 2C, putative	AT4G33920	protein phosphatase 2C family protein / PP2C family protein, similar to Ser/Thr protein phosphatase 2C (PP2C6) (GI:15020818) (Arabidopsis thaliana); similar to protein phosphatase 2C (GI:3608412) (Mesembryanthemum crystallinum); contains Pfam PF00481 : Protein phosphatase 2C domain
aC18009B08Rv_c	C18009B08	yes	Alcohol acyl-transferase	AT5G48930	transferase family protein, similar to anthranilate N-hydroxycinnamoyl/benzoyltransferase from Dianthus caryophyllus (GI:3288180, GI:2239091); contains Pfam profile PF02458 transferase family
aC18009B12Rv_c	C18009B12	yes	AT4g08850/T32A17_160	AT4G08850	leucine-rich repeat family protein / protein kinase family protein, contains Pfam domains PF00560: Leucine Rich Repeat and PF00069: Protein kinase domain
aC18009C01Rv_c	C18009C01	yes	DNA repair helicase UVH6	AT1G03190	DNA repair protein / transcription factor protein (UVH6), identical to DNA repair/transcription factor protein (UVH6) gi:22651569 gb:AY090788
aC18009C03Rv_c	C18009C03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009C10Rv_c	C18009C10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009D02Rv_c	C18009D02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009D04Rv_c	C18009D04	yes	Leucoanthocyanidin dioxygenase-like protein	AT5G59530	2-oxoglutarate-dependent dioxygenase, putative, similar to 2A6 (GI:599622) and tomato ethylene synthesis regulatory protein E8 (SP:P10967); 1-aminocyclopropane-1-carboxylate oxidase kidney bean, PIR:T10818
aC18009D08Rv_c	C18009D08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009E10Rv_c	C18009E10	yes	no_annotation_available	AT3G53040	late embryogenesis abundant protein, putative / LEA protein, putative, similar to LEA protein in group 3 (Arabidopsis thaliana) GI:1526424; contains Pfam profile PF02987: Late embryogenesis abundant protein
aC18009F02Rv_c	C18009F02	yes	F14D7.1 protein	AT1G35710	leucine-rich repeat transmembrane protein kinase, putative, similar to many predicted protein kinases
aC18009G03Rv_c	C18009G03	yes	Serine/threonine-protein phosphatase BSL3	AT2G27210	kelch repeat-containing serine/threonine phosphoesterase family protein, similar to SP:P48482 Serine/threonine protein phosphatase PP1 isozyme 2 (EC 3.1.3.16) {Arabidopsis thaliana}; contains Pfam profile PF00149: Calcineurin-like phosphoesterase
aC18009G04Rv_c	C18009G04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009G05Rv_c	C18009G05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009G07Rv_c	C18009G07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009G08Rv_c	C18009G08	yes	Regulatory protein-like	AT3G60550	cyclin family protein, similar to cyclin 2 (Trypanosoma brucei) GI:7339572, cyclin 6 (Trypanosoma cruzi) GI:12005317; contains Pfam profile PF00134: Cyclin, N-terminal domain
aC18009G09Rv_c	C18009G09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009G12Rv_c	C18009G12	yes	expressed protein	AT1G73380	expressed protein
aC18009H03Rv_c	C18009H03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18009H04Rv_c	C18009H04	yes	F21J9.24	AT1G24580	zinc finger (C3HC4-type RING finger) family protein
aC18009H09Rv_c	C18009H09	yes	Structural maintenance of chromosomes 1 protein	AT3G54670	structural maintenance of chromosomes (SMC) family protein [Arabidopsis thaliana] (TAIR:At5g48600.1); similar to hypothetical protein UM03243.1 [Ustilago maydis 521] (GB:EAK84348.1); similar to unnamed protein product [Debaryomyces hansenii CBS767] (GB:CAG89604.1); contains InterPro domain Structural maintenance of chromosome protein SMC, C-terminal (InterPro:IPR003405)
aC18009H10Rv_c	C18009H10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18010A05Rv_c	C18010A05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18010A11Rv_c	C18010A11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18010B05Rv_c	C18010B05	yes	Lethal leaf spot 1-like protein	AT3G44880	Rieske (2Fe-2S) domain-containing protein, similar to lethal leaf-spot 1 from Zea mays (gi:1935909); contains Pfam PF00355 Rieske (2Fe-2S) domain
aC18010B06Rv_c	C18010B06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18010B08Rv_c	C18010B08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18010C08Rv_c	C18010C08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18010C11Rv_c	C18010C11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18010D01Rv_c	C18010D01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18010D11Rv_c	C18010D11	yes	Putative 28 kDa heat-and acid-stable phosphoprotein	AT5G46020	expressed protein
aC18010E12Rv_c	C18010E12	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18010G10Rv_c	C18010G10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18011A04Rv_c	C18011A04	yes	Putative cruciform DNA binding protein	no_similar_Arabidopsis_protein	
aC18011A08Rv_c	C18011A08	yes	Transcription factor atf21	no_similar_Arabidopsis_protein	
aC18011A09Rv_c	C18011A09	yes	Putative beta-1,3-glucanase	AT2G43670	glycosyl hydrolase family protein 17, similar to glucan endo-1,3-beta-glucosidase precursor SP:P52409 from (Triticum aestivum); C terminal homology only
aC18011B05Rv_c	C18011B05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18011C01Rv_c	C18011C01	yes	no_annotation_available	AT5G43580	protease inhibitor, putative, similar to SP:P19873 Inhibitor of trypsin and hageman factor (CMTI-V) {Cucurbita maxima}; contains Pfam profile PF00280: Potato inhibitor I family
aC18011C03Rv_c	C18011C03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18011C12Rv_c	C18011C12	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18011D03Rv_c	C18011D03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18011D05Rv_c	C18011D05	yes	Glutathione S-transferase	AT5G02790	In2-1 protein, putative, similar to In2-1, Zea mays, EMBL:X58573
aC18011D06Rv_c	C18011D06	yes	Calcium binding protein	AT1G70670	caleosin-related family protein, similar to Ca+2-binding EF hand protein GB:AAB71227 (Glycine max); contains Pfam profilePF05042: Caleosin related protein
aC18011D10Rv_c	C18011D10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
